timeStamp,paleo_users,dtmonth,healthy_index,snack_food_index,paleo,gluten,donut,aquafina,soda,atkins_diet,pepsi,aspartame,lays,izze,sobe,cheetos,pretzel,quinoa,kale,dairy,vegetables,gatorade,doritos,lipton
1/24/12 0:00,,1/1/12,14083,21940,1669,3899,5620,564,,183,,189,,90,805,7615,2731,1032,2178,5523,5305,4737,5974,545
1/25/12 0:00,,1/1/12,14809,24135,1434,3987,6138,523,,78,,200,,61,960,7315,2921,1614,2817,6496,4957,5810,7761,559
1/26/12 0:00,,1/1/12,13451,19800,1434,4057,6135,613,,71,,436,,76,926,4959,2998,997,2184,5634,4779,5178,5708,575
1/27/12 0:00,,1/1/12,12552,20579,1335,4046,6377,580,,80,,129,,43,1250,4965,3799,989,1914,5629,4268,5106,5438,567
1/28/12 0:00,,1/1/12,10271,18376,1142,2974,6374,414,,71,,87,,32,778,3913,3458,906,1478,5156,3771,4304,4631,563
1/29/12 0:00,,1/1/12,10471,18246,1091,2960,5628,609,,94,,70,,58,861,4458,3249,691,1594,5051,4135,4594,4911,386
1/30/12 0:00,,1/1/12,13620,19231,1509,3668,5892,728,,71,,121,,55,848,5038,2725,1061,2137,6726,5245,4394,5576,516
1/31/12 0:00,,1/1/12,13784,19671,1613,3996,6488,725,,82,,184,,65,848,5269,2871,1011,2530,6850,4634,5593,5043,723
2/1/12 0:00,,2/1/12,13795,19425,1452,3810,6042,603,,70,,354,,65,716,5167,3136,1005,2262,6070,5266,5395,5080,749
2/2/12 0:00,,2/1/12,14010,19632,1557,4302,6591,648,,109,,313,,62,928,4824,2921,868,2033,6305,5250,5986,5296,720
2/3/12 0:00,,2/1/12,12437,18193,1524,4038,6231,623,,116,,219,,61,896,4087,2935,839,2165,6210,3871,4968,4940,696
2/4/12 0:00,,2/1/12,10655,17770,1139,3708,6017,439,,60,,117,,60,765,3565,3644,546,1735,5760,3527,4174,4544,384
2/5/12 0:00,,2/1/12,11064,28650,1212,3014,6350,404,,102,,125,,54,906,4493,3527,635,1604,4915,4599,5634,14280,447
2/6/12 0:00,,2/1/12,11625,113262,1322,3886,6460,652,,94,,182,,36,639,4354,2884,770,1708,5080,3939,8215,99564,617
2/7/12 0:00,,2/1/12,13935,21842,1386,5009,7191,621,,68,,297,,60,751,4768,2948,829,2201,5731,4510,6585,6935,626
2/8/12 0:00,,2/1/12,13399,25092,1299,4475,7275,693,,75,,234,,62,824,4713,2753,833,2027,5497,4765,4793,10351,672
2/9/12 0:00,,2/1/12,12824,20122,1430,4282,6826,678,,99,,503,,58,631,4608,2904,780,1895,6158,4437,5166,5784,527
2/10/12 0:00,,2/1/12,13043,20530,1513,3974,7124,631,,151,,266,,50,758,4051,3559,758,1860,5583,4938,5100,5796,536
2/11/12 0:00,,2/1/12,9811,18049,1269,2935,6089,621,,135,,162,,41,841,3503,3831,477,1450,4607,3680,4129,4626,499
2/12/12 0:00,,2/1/12,10172,18326,1166,2847,5836,416,,66,,162,,43,788,4128,3455,710,1434,4455,4015,4251,4907,580
2/13/12 0:00,,2/1/12,11984,20956,1406,3890,6114,616,,350,,169,,51,641,5586,2832,830,1796,5405,4062,6818,6424,502
2/14/12 0:00,,2/1/12,11732,19211,1498,4068,8026,470,,87,,171,,90,756,3904,3140,652,1610,5009,3904,6319,4141,467
2/15/12 0:00,,2/1/12,12794,22535,1847,3837,5752,787,,90,,174,,75,912,7708,2849,779,1865,5306,4466,4316,6226,572
2/16/12 0:00,,2/1/12,13432,22924,1500,3966,6090,644,,118,,136,,66,799,6288,3162,831,1819,5576,5316,5361,7384,585
2/17/12 0:00,,2/1/12,12277,23160,1373,4068,6090,618,,55,,114,,65,1212,4528,3233,833,1762,5404,4241,4813,9309,528
2/18/12 0:00,,2/1/12,10608,19910,1192,3101,5812,474,,81,,80,,54,788,3897,3593,604,1516,5077,4195,4919,6608,471
2/19/12 0:00,,2/1/12,10671,19800,1250,2983,5880,626,,104,,129,,59,782,4675,3340,516,1552,4884,4370,5898,5905,680
2/20/12 0:00,,2/1/12,12405,23518,1689,3988,6865,513,,93,,280,,85,1062,4973,3342,829,1698,6263,4201,5548,8338,733
2/21/12 0:00,,2/1/12,15704,24432,1852,6125,8886,792,,85,,178,,57,934,5488,3784,991,2283,6394,4453,5589,6274,737
2/22/12 0:00,,2/1/12,16790,23483,2122,5317,7192,649,,88,,220,,57,1386,6411,3358,967,2255,6909,6129,5856,6522,673
2/23/12 0:00,,2/1/12,13775,21988,1532,4387,6875,647,,71,,129,,73,1771,5734,3607,1040,2216,6325,4600,10082,5772,1118
2/24/12 0:00,,2/1/12,13432,21255,1540,4068,6942,720,,68,,139,,59,1711,4684,3273,873,1929,6208,5022,7456,6356,1044
2/25/12 0:00,,2/1/12,10639,18618,1097,3311,5706,590,,70,,102,,43,1374,3906,4255,678,1691,5650,3862,6768,4751,550
2/26/12 0:00,,2/1/12,10646,20921,1505,2890,7366,604,,69,,99,,49,1263,4384,3500,646,1648,5445,3957,9864,5671,635
2/27/12 0:00,,2/1/12,12828,21108,1689,3849,5981,539,,81,,127,,45,988,6446,3632,1001,1824,6148,4465,9135,5049,979
2/28/12 0:00,,2/1/12,14260,22792,1686,4229,7160,600,,150,,182,,68,1041,5974,3618,1081,1994,6324,5270,6138,6040,901
2/29/12 0:00,,2/1/12,15049,23691,1710,4880,9395,1251,,91,,178,,90,1160,5230,3500,1073,2093,6572,5293,8992,5566,959
3/1/12 0:00,,3/1/12,14539,20150,1728,5016,6736,754,,90,,139,,59,1054,5373,3657,860,2066,6886,4869,5159,4384,1117
3/2/12 0:00,,3/1/12,13372,19944,1525,4347,6452,564,,162,,402,,53,905,4565,4449,1038,2191,6647,4271,5368,4478,876
3/3/12 0:00,,3/1/12,11050,25336,1437,3527,6336,388,,71,,308,,65,971,4262,10622,772,1822,5365,3492,4761,4116,588
3/4/12 0:00,,3/1/12,10911,19565,1209,3319,6676,485,,80,,497,,66,880,4304,4139,687,1794,6150,3902,6351,4446,572
3/5/12 0:00,,3/1/12,13639,21276,1607,4061,6952,736,,92,,377,,47,840,5300,3466,1116,2371,6747,4484,5236,5558,832
3/6/12 0:00,,3/1/12,15101,22184,1489,4561,6905,708,,90,,207,,68,811,5680,3651,1212,2259,7571,5580,6371,5948,832
3/7/12 0:00,,3/1/12,15626,22082,1498,5469,6712,644,,68,,145,,84,862,5026,3574,932,2401,7413,5326,8406,6770,833
3/8/12 0:00,,3/1/12,13682,29676,1412,4166,6406,629,,76,,146,,80,812,6732,3612,853,2328,7474,4923,6342,12926,702
3/9/12 0:00,,3/1/12,12956,29671,1445,4008,6654,791,,73,,603,,70,961,4750,3210,1180,1962,6791,4361,5981,15057,598
3/10/12 0:00,,3/1/12,10466,26039,1349,3002,6071,626,,69,,241,,63,860,4555,3971,711,1771,6037,3633,6168,11442,536
3/11/12 0:00,,3/1/12,10338,24858,1051,3054,6567,476,,65,,241,,53,827,4861,3665,663,1864,8489,3706,6563,9765,528
3/12/12 0:00,,3/1/12,13698,28507,1403,3910,7271,703,,77,,177,,60,799,5519,3152,934,2290,8607,5161,8270,12565,608
3/13/12 0:00,,3/1/12,13941,27047,1622,3808,6629,729,,64,,189,,86,862,5209,3475,1065,2377,8813,5069,8352,11734,687
3/14/12 0:00,,3/1/12,14266,25406,1488,4638,6364,653,,365,,389,,59,827,4920,3163,1257,2318,9999,4565,7022,10959,625
3/15/12 0:00,,3/1/12,13874,26706,1641,4163,7259,654,,220,,335,,49,903,4510,3188,959,2242,8825,4869,7844,11749,719
3/16/12 0:00,,3/1/12,12596,24946,1665,3996,6786,478,,78,,253,,63,909,4171,3151,839,2334,7579,3762,5583,10838,493
3/17/12 0:00,,3/1/12,11258,21291,1351,3576,5776,482,,68,,157,,62,988,3546,3622,557,2076,7314,3698,5290,8347,417
3/18/12 0:00,,3/1/12,13908,22460,1417,4499,5811,570,,63,,104,,53,908,4087,3497,668,1873,8602,5451,6740,9065,433
3/19/12 0:00,,3/1/12,14620,24850,1442,4792,6129,651,,84,,175,,57,823,4807,2977,973,2297,9408,5116,5450,10937,584
3/20/12 0:00,,3/1/12,13941,26578,1469,4308,6491,582,,108,,135,,67,786,5627,3766,1108,2071,11411,4985,5872,10694,718
3/21/12 0:00,,3/1/12,14093,26412,1525,4352,7340,652,,63,,211,,52,790,4866,3194,990,2454,10122,4772,6624,11012,553
3/22/12 0:00,,3/1/12,13267,23842,1328,4129,6456,695,,62,,390,,54,836,5078,3036,921,2173,9122,4716,9473,9272,681
3/23/12 0:00,,3/1/12,13277,22455,1497,3631,6750,780,,80,,232,,70,913,4408,3313,828,1926,7559,5395,11141,7984,546
3/24/12 0:00,,3/1/12,10395,20818,1244,3033,6001,403,,104,,317,,75,947,3705,3649,686,1662,6071,3770,7855,7463,459
3/25/12 0:00,,3/1/12,10573,23367,1282,2945,6601,643,,98,,295,,74,733,5454,3270,659,1921,7057,3766,9608,8042,475
3/26/12 0:00,,3/1/12,15279,24269,1380,4035,6566,699,,79,,414,,123,699,6489,2709,1186,2331,7445,6347,9497,8505,643
3/27/12 0:00,,3/1/12,16283,26202,1535,4552,6589,722,,67,,367,,117,766,6835,3015,1575,2303,7237,6318,7147,9763,722
3/28/12 0:00,,3/1/12,15643,28437,1568,4498,7519,586,,57,,628,,82,690,8627,3006,1153,2379,7466,6045,8173,9285,773
3/29/12 0:00,,3/1/12,13778,25934,1408,4457,7240,646,,73,,379,,91,720,5779,3262,1024,2205,7139,4684,7749,9653,775
3/30/12 0:00,,3/1/12,12737,24946,1433,4083,7771,766,,70,,174,,74,897,5268,3027,1042,1946,6441,4233,8380,8880,689
3/31/12 0:00,,3/1/12,10150,23259,1333,2954,6507,543,,66,,124,,69,709,4827,3895,663,1424,6117,3776,10916,8030,484
4/1/12 0:00,,4/1/12,9961,21117,1273,2831,5899,527,,111,,135,,95,773,4263,3324,648,1393,6496,3816,5573,7631,492
4/2/12 0:00,,4/1/12,19955,23960,1542,3817,6170,641,,185,,233,,80,673,5166,3699,966,1991,7434,11639,6797,8925,761
4/3/12 0:00,,4/1/12,15834,23706,1397,4304,6696,670,,70,,192,,81,779,5352,3589,1441,2251,7487,6441,6292,8069,652
4/4/12 0:00,,4/1/12,14813,24189,1509,4393,6584,537,,93,,204,,146,919,5056,3471,1198,2148,7672,5565,6926,9078,802
4/5/12 0:00,,4/1/12,14099,29642,1743,4117,7203,1511,,96,,152,,68,1002,4822,3540,1010,1966,6923,5263,6852,14077,703
4/6/12 0:00,,4/1/12,14169,30030,1543,3932,7538,597,,83,,134,,74,1176,4821,3674,877,1759,7702,6058,5380,13997,531
4/7/12 0:00,,4/1/12,15224,24977,1154,3439,6518,563,,93,,94,,73,894,4064,4054,679,1566,6451,8386,5048,10341,691
4/8/12 0:00,,4/1/12,13424,21942,1399,2924,5468,361,,74,,140,,57,712,3668,3158,564,1514,8431,7023,4269,9648,567
4/9/12 0:00,,4/1/12,21580,22395,1625,10963,6086,492,,62,,140,,119,724,4552,3116,1053,1867,6780,6072,6115,8641,626
4/10/12 0:00,,4/1/12,19393,29061,1647,8104,7137,530,,73,,177,,59,722,5568,3369,1183,2233,6881,6226,6127,12987,1036
4/11/12 0:00,,4/1/12,19061,25818,1690,7927,7573,567,,89,,341,,60,645,5737,3400,1437,2226,8608,5781,7806,9108,869
4/12/12 0:00,,4/1/12,19003,29384,1469,5955,7029,638,,92,,228,,103,804,5407,3357,4016,2181,7797,5382,6364,13591,751
4/13/12 0:00,,4/1/12,14394,24019,1417,4818,7751,613,,105,,170,,91,766,4368,3267,1066,2161,6830,4932,7242,8633,616
4/14/12 0:00,,4/1/12,12385,21286,1161,3966,6695,357,,68,,128,,64,733,4023,3631,856,1628,6199,4774,8533,6937,576
4/15/12 0:00,,4/1/12,12339,22067,1099,3496,6682,490,,63,,156,,96,903,4441,3491,696,1632,7629,5416,8186,7453,544
4/16/12 0:00,,4/1/12,16293,25776,1598,5433,6968,818,,102,,128,,91,844,5142,3205,1234,2060,8489,5968,6847,10461,715
4/17/12 0:00,,4/1/12,16915,26557,1703,6198,7158,683,,87,,197,,77,677,7037,2951,1327,2165,8613,5522,6326,9411,630
4/18/12 0:00,,4/1/12,15624,25418,1688,5001,7252,625,,81,,413,,72,619,6815,3348,1291,2552,7441,5092,8061,8003,726
4/19/12 0:00,,4/1/12,15290,22666,1521,4410,6831,579,,68,,266,,67,703,5514,3118,1187,2371,7411,5801,6702,7203,633
4/20/12 0:00,,4/1/12,18055,24098,1372,4306,6846,532,,53,,159,,75,882,4773,3127,1024,2044,7169,9309,6487,9352,564
4/21/12 0:00,,4/1/12,15378,21074,1234,3444,6353,378,,50,,138,,61,815,3793,3567,763,2716,6706,7221,5454,7361,385
4/22/12 0:00,,4/1/12,15331,22035,1190,3209,6683,365,,79,,178,,78,694,4131,3511,832,1979,6275,8121,5509,7710,449
4/23/12 0:00,,4/1/12,25366,26482,1599,4249,6523,625,,101,,522,,77,621,7078,3939,1176,2243,7764,16099,5881,8942,794
4/24/12 0:00,,4/1/12,23137,25005,2078,4959,7433,560,,66,,261,,58,866,5804,3289,1232,2300,11356,12568,5868,8479,1036
4/25/12 0:00,,4/1/12,18065,24364,1855,5038,8048,560,,79,,256,,88,824,5454,3527,1264,2350,9588,7558,7217,7335,756
4/26/12 0:00,,4/1/12,17445,43095,1810,4590,7678,738,,77,,162,,80,810,5740,22495,1264,2427,7807,7354,6753,7182,1108
4/27/12 0:00,,4/1/12,15461,23096,1693,4330,6990,667,,80,,221,,67,813,4562,4522,1282,2573,7075,5583,6636,7022,948
4/28/12 0:00,,4/1/12,11791,20833,1226,3408,6093,619,,81,,321,,85,872,3899,4216,793,2098,5752,4266,6018,6625,1349
4/29/12 0:00,,4/1/12,13675,22355,1334,3313,6285,472,,83,,263,,61,714,4635,3514,842,2214,7078,5972,6752,7921,1489
4/30/12 0:00,,4/1/12,18608,24949,1481,5237,6849,652,,75,,206,,107,1124,7383,3366,1101,2254,7553,8535,6721,7351,768
5/1/12 0:00,,5/1/12,16499,23446,1833,4741,7116,668,,97,,152,,138,1025,5677,3376,1222,2394,7742,6309,7083,7277,792
5/2/12 0:00,,5/1/12,16365,22248,1677,4829,6861,607,,73,,235,,45,834,5302,3168,1205,2367,8761,6287,6678,6917,721
5/3/12 0:00,,5/1/12,15813,22373,1692,5287,7183,633,,68,,127,,70,811,5298,3120,1151,2381,8961,5302,6504,6772,757
5/4/12 0:00,,5/1/12,14810,20961,1542,5113,7414,465,,77,,139,,63,1034,4717,3054,979,2742,7725,4434,6819,5776,602
5/5/12 0:00,,5/1/12,11296,19877,1193,3243,6381,431,,83,,86,,73,837,4143,3322,785,1860,6286,4215,4902,6031,423
5/6/12 0:00,,5/1/12,10839,19711,1134,3431,6085,378,,57,,131,,41,864,3941,3353,716,1863,7301,3695,5899,6332,417
5/7/12 0:00,,5/1/12,16587,26008,1380,6645,6935,632,,77,,149,,43,803,9421,2952,1063,2082,8033,5417,10241,6700,576
5/8/12 0:00,,5/1/12,17898,22746,1590,7460,7647,512,,72,,198,,63,689,5454,3077,1187,2540,8214,5121,6647,6568,739
5/9/12 0:00,,5/1/12,16586,48606,1645,5791,32803,710,,63,,199,,54,773,5263,3050,1161,2410,8429,5579,6715,7490,884
5/10/12 0:00,,5/1/12,14816,26879,1513,5281,11147,562,,99,,132,,72,883,4943,3064,1074,2070,7607,4878,7090,7725,741
5/11/12 0:00,,5/1/12,14440,20398,1489,4603,7124,564,,62,,162,,71,794,4134,2962,954,2231,7980,5163,7271,6178,585
5/12/12 0:00,,5/1/12,12534,22753,1291,3681,6017,664,,83,,242,,67,868,3663,3660,681,1929,6466,4952,6035,9413,434
5/13/12 0:00,,5/1/12,11485,17775,1044,3121,5539,503,,98,,112,,61,1196,3050,3159,533,1908,7135,4879,5560,6027,447
5/14/12 0:00,,5/1/12,15302,20938,1582,5180,6640,540,,130,,127,,47,717,4509,2857,966,1946,8185,5628,5856,6932,703
5/15/12 0:00,,5/1/12,24787,21362,1680,5397,7059,645,,92,,291,,78,875,4969,3156,1310,2300,8802,14100,6363,6178,843
5/16/12 0:00,,5/1/12,19177,21191,1655,6015,6989,664,,62,,148,,204,815,4803,2936,1245,2712,9850,7550,6467,6463,1389
5/17/12 0:00,,5/1/12,17253,22987,1599,5537,7753,800,,69,,163,,113,760,4695,3348,1064,2482,8884,6571,8283,7191,1208
5/18/12 0:00,,5/1/12,16774,21837,1622,5754,7009,741,,63,,174,,124,779,4437,3114,905,2312,7905,6181,6744,7277,1106
5/19/12 0:00,,5/1/12,14708,20551,1340,4249,6011,531,,43,,140,,62,725,4444,3394,781,1851,7508,6487,5831,6702,713
5/20/12 0:00,,5/1/12,12545,21144,1143,3297,6311,733,,60,,202,,87,657,3469,3190,877,1818,9734,5410,6743,8174,506
5/21/12 0:00,,5/1/12,16745,25006,1496,4607,6546,679,,77,,142,,61,647,6682,2873,1006,2042,10696,7594,5908,8905,737
5/22/12 0:00,,5/1/12,17070,24459,1639,5237,7221,697,,113,,148,,58,791,6902,3199,1148,2168,8338,6878,8122,7137,781
5/23/12 0:00,,5/1/12,16756,28747,1613,5066,7667,906,,73,,190,,88,782,9551,3435,1510,2361,8742,6206,7947,8094,1236
5/24/12 0:00,,5/1/12,17257,21090,1443,6270,7239,849,,72,,123,,167,778,4781,2819,1096,1963,8477,6485,6089,6251,830
5/25/12 0:00,,5/1/12,14873,20588,1396,4484,6939,559,,84,,142,,123,1029,4636,2991,1001,1845,7869,6147,5832,6022,1037
5/26/12 0:00,,5/1/12,11383,18955,1292,3274,6092,541,,56,,129,,137,1081,3572,3390,704,1436,6755,4677,6584,5901,557
5/27/12 0:00,,5/1/12,11755,22456,1084,2925,6268,641,,67,,128,,71,897,4230,5194,716,1594,7486,5436,6204,6764,565
5/28/12 0:00,,5/1/12,12544,20121,1231,3455,6369,659,,65,,129,,75,679,5132,2775,821,1649,8932,5388,6281,5845,698
5/29/12 0:00,,5/1/12,19003,23631,1709,4199,7892,712,,56,,129,,63,757,5969,3169,1054,1852,9234,10189,8140,6601,915
5/30/12 0:00,,5/1/12,16272,25495,1694,4663,8883,860,,81,,168,,106,611,6412,3047,1217,2077,7948,6621,8927,7153,861
5/31/12 0:00,,5/1/12,15988,28758,1671,4443,11212,677,,72,,241,,88,620,6018,3254,1234,2057,7871,6583,9532,8274,905
6/1/12 0:00,,6/1/12,15578,121894,1699,4795,106207,743,,95,,264,,86,583,4902,3131,1029,2142,8360,5913,8426,7654,811
6/2/12 0:00,,6/1/12,12987,34171,1871,4203,18585,629,,149,,129,,100,715,4350,3410,742,1646,6654,4525,6382,7826,620
6/3/12 0:00,,6/1/12,15012,23075,1925,3182,8384,553,,88,,155,,77,577,4475,3277,694,1610,8068,7601,7549,6939,636
6/4/12 0:00,,6/1/12,17486,22833,1765,3861,7514,677,,71,,130,,59,598,5098,2830,937,1841,8843,9082,10035,7391,618
6/5/12 0:00,,6/1/12,19010,27156,1950,4313,8126,595,,86,,189,,60,611,6167,3195,1693,2226,8622,8828,8043,9668,774
6/6/12 0:00,,6/1/12,17451,27297,2098,4892,9136,1961,,106,,185,,324,554,5208,3059,1289,2415,10054,6757,10333,9894,1330
6/7/12 0:00,,6/1/12,15694,24264,1945,4324,8547,955,,118,,182,,117,692,5018,3105,1100,2533,8517,5792,7361,7594,1043
6/8/12 0:00,,6/1/12,14585,24751,1799,4154,8537,733,,99,,127,,106,883,4983,3501,1013,2105,7940,5514,8285,7730,745
6/9/12 0:00,,6/1/12,12935,20375,1357,3524,6884,684,,56,,117,,105,682,4127,3435,725,1757,6446,5572,7527,5929,638
6/10/12 0:00,,6/1/12,13954,21963,1350,4930,6156,636,,63,,103,,73,746,6004,3251,881,1718,7152,5075,9510,6552,761
6/11/12 0:00,,6/1/12,17866,24656,1732,6207,7499,1123,,421,,292,,135,638,7060,3063,1381,2106,11221,6440,7594,7034,857
6/12/12 0:00,,6/1/12,21035,25665,1930,6813,7699,1066,,213,,211,,111,813,6386,3228,1826,2451,9578,8015,11536,8352,1102
6/13/12 0:00,,6/1/12,16875,25105,2182,5419,7848,773,,119,,228,,122,688,5578,3284,1398,2305,8798,5571,9365,8395,1058
6/14/12 0:00,,6/1/12,16565,24535,1988,5204,8093,805,,273,,319,,122,669,6105,3254,1343,2419,11398,5611,7038,7083,774
6/15/12 0:00,,6/1/12,15416,23281,1723,4632,7431,806,,136,,144,,97,785,5174,3355,1346,2346,8953,5369,8864,7321,884
6/16/12 0:00,,6/1/12,12325,20600,1496,3562,6433,844,,76,,127,,85,571,4428,3731,722,1656,7255,4889,6267,6008,536
6/17/12 0:00,,6/1/12,11584,21240,1480,3261,6215,531,,89,,139,,68,602,5466,3388,684,1625,7045,4534,5620,6171,1210
6/18/12 0:00,,6/1/12,14301,23035,1667,4100,6683,730,,71,,159,,135,563,5479,2902,1094,1976,8680,5464,7155,7971,711
6/19/12 0:00,,6/1/12,17847,28420,1735,4377,7374,880,,78,,246,,137,473,6415,3078,1104,2321,8614,8310,8370,11553,856
6/20/12 0:00,,6/1/12,15787,23693,1769,4490,6786,721,,55,,228,,101,747,5686,3193,1168,2268,9726,6092,16812,8028,638
6/21/12 0:00,,6/1/12,14304,22473,1753,3896,6596,773,,55,,379,,122,713,5278,2899,1016,1895,9494,5744,10744,7700,680
6/22/12 0:00,,6/1/12,14650,26223,1747,4202,7239,644,,130,,212,,110,956,6104,4005,929,2307,8969,5465,15129,8875,723
6/23/12 0:00,,6/1/12,12469,21525,1436,3739,6522,834,,102,,152,,109,604,4780,3675,1345,1659,8161,4290,6874,6548,571
6/24/12 0:00,,6/1/12,12435,22011,1496,3475,6274,641,,75,,127,,89,537,5267,3380,1001,1720,7163,4743,6874,7090,564
6/25/12 0:00,,6/1/12,15556,24951,1939,4458,7060,810,,361,,187,,94,566,5675,2965,1260,2100,8298,5799,7759,9251,662
6/26/12 0:00,,6/1/12,16881,31138,1707,4895,7454,890,,135,,192,,117,562,10563,3164,1253,2277,8720,6749,9129,9957,692
6/27/12 0:00,,6/1/12,15866,29129,1732,4455,8327,1054,,403,,205,,76,518,8292,3220,1129,2192,8698,6358,8804,9290,787
6/28/12 0:00,,6/1/12,17185,25253,1888,4288,7532,977,,200,,286,,94,563,6954,3396,1245,2194,8622,7570,9129,7371,1594
6/29/12 0:00,,6/1/12,15939,23415,1718,5766,7250,917,,96,,135,,117,629,5912,3170,1077,1879,8117,5499,9356,7083,1084
6/30/12 0:00,,6/1/12,12463,20811,1257,3234,6709,558,,59,,124,,108,783,4869,3731,635,1577,6943,5760,7821,5502,583
7/1/12 0:00,,7/1/12,12083,21630,1445,3565,7989,553,,65,,149,,70,529,4700,3530,727,1501,7991,4845,7694,5411,541
7/2/12 0:00,,7/1/12,16086,22001,2408,4388,6726,739,,153,,385,,56,670,5860,3233,1310,2228,7815,5752,8534,6182,656
7/3/12 0:00,,7/1/12,15154,22691,1669,4405,7166,706,,449,,294,,114,792,5345,3866,1649,2135,8548,5296,8964,6314,924
7/4/12 0:00,,7/1/12,12425,24407,1486,3537,6361,688,,127,,210,,75,767,4989,3109,854,1769,7261,4779,6940,9948,620
7/5/12 0:00,,7/1/12,16569,20329,1530,3685,5863,628,,101,,166,,73,776,4236,3015,952,2090,7395,8312,7787,7215,621
7/6/12 0:00,,7/1/12,15955,22503,1611,4971,7560,1048,,112,,151,,96,791,5399,3422,1027,2433,10495,5913,8616,6122,833
7/7/12 0:00,,7/1/12,13728,20618,1352,4339,6453,796,,71,,136,,73,970,4768,3859,832,1760,7623,5445,12432,5538,558
7/8/12 0:00,,7/1/12,13059,20840,1482,3318,6664,916,,55,,273,,99,620,5220,3497,861,1856,8054,5542,8003,5459,543
7/9/12 0:00,,7/1/12,18932,23667,1746,5759,7134,833,,55,,266,,86,682,5738,3711,1153,2217,9821,8057,8673,7084,733
7/10/12 0:00,,7/1/12,15717,23872,1907,4489,7652,758,,177,,152,,65,559,6320,3604,1323,2342,9591,5656,9588,6296,717
7/11/12 0:00,,7/1/12,17462,24592,1945,4757,8226,850,,92,,151,,78,542,6603,3391,1400,2300,16848,7060,9467,6372,702
7/12/12 0:00,,7/1/12,15576,24625,1746,4443,7635,664,,69,,177,,84,478,6268,3589,1311,2359,11327,5717,9005,7133,807
